id,ibpu_percentage,ibpa_percentage,tdc_percentage
378,56.79,52.46,24.3
379,65.43,58.64,14.46
380,53.08,54.32,20.25
381,45.67,56.79,16.43
382,59.25,61.11,17.36
383,44.44,50.61,49.53
384,48.14,54.93,5.78
385,56.79,59.25,25.23
386,72.83,61.11,17.36
387,53.08,53.7,23.26
388,50.61,50.0,23.14
389,60.49,55.55,17.36
390,51.85,59.87,14.46
391,58.02,61.72,22.22
392,60.49,61.72,29.05
393,49.38,61.11,8.68
394,60.49,60.49,39.69
395,70.37,60.49,14.46
396,66.66,59.87,15.5
397,46.91,50.0,11.57
398,65.43,66.66,41.66
399,50.61,51.23,31.94
400,61.72,56.79,26.04
401,62.96,55.55,8.68
402,59.25,61.72,23.14
403,80.24,67.9,10.64
404,67.9,61.11,11.57
405,60.49,57.4,34.83
406,62.96,58.64,23.26
407,53.08,61.11,44.67
408,51.85,52.46,23.26
409,54.32,55.55,17.36
410,41.97,54.32,20.25
411,60.49,61.11,20.25
412,55.55,57.4,20.25
413,51.85,51.23,14.46
414,55.55,59.87,14.46
415,70.37,66.04,45.6
416,65.43,53.7,30.09
417,60.49,51.23,14.46
418,70.37,56.79,20.25
419,55.55,53.7,36.8
420,62.96,58.64,8.68
421,90.12,59.87,28.0
422,49.38,54.93,2.89
423,61.72,61.11,25.11
424,55.55,56.79,11.57
425,65.43,58.02,2.89
426,70.37,57.4,26.15
427,66.66,65.43,17.36
428,75.3,52.46,26.15
429,54.32,58.64,23.14
430,48.14,56.17,19.32
431,51.85,56.79,20.25
432,54.32,51.85,23.14
433,67.9,66.04,20.37
434,62.96,58.02,11.57
435,55.55,57.4,20.25
436,50.61,51.23,30.09
437,75.3,58.02,5.78
438,65.43,58.64,27.19
439,50.61,59.87,31.01
440,59.25,56.17,17.36
441,61.72,51.23,8.68
442,44.44,53.7,22.33
443,62.96,55.55,8.68
444,67.9,59.25,20.25
445,65.43,59.25,8.68
446,60.49,52.46,17.36
447,58.02,54.32,11.57
448,49.38,48.76,36.92
449,64.19,58.64,27.19
450,72.83,65.43,31.01
451,62.96,50.61,11.57
452,53.08,51.23,11.57
453,56.79,48.76,8.68
454,55.55,62.96,11.57
455,59.25,51.85,19.32
456,50.61,55.55,11.57
457,51.85,50.0,19.44
458,65.43,58.02,8.68
459,55.55,51.85,17.36
460,75.3,65.43,23.14
461,56.79,58.02,11.57
462,55.55,57.4,17.36
463,59.25,59.87,19.32
464,54.32,53.08,11.57
465,50.61,51.23,19.32
466,72.83,59.87,17.47
467,48.14,53.7,35.87
468,59.25,51.23,38.77
469,48.14,53.7,19.32
470,58.02,50.61,30.9
471,59.25,56.79,23.26
472,65.43,58.02,14.46
473,49.38,46.29,30.09
474,62.96,66.04,26.15
475,54.32,56.79,20.37
476,65.43,62.96,11.57
477,46.91,52.46,29.05
478,54.32,53.7,25.23
479,65.43,67.9,13.54
480,53.08,47.53,17.36
481,50.61,56.17,8.68
482,40.74,41.97,57.17
483,51.85,57.4,22.22
484,45.67,53.7,20.25
485,55.55,53.08,8.68
486,59.25,53.7,14.46
487,53.08,52.46,26.04
488,60.49,64.19,47.56
489,60.49,56.79,17.36
490,46.91,54.32,14.46
491,64.19,55.55,14.46
492,61.72,51.23,17.36
493,54.32,56.79,11.57
494,67.9,52.46,33.79
495,65.43,63.58,5.78
496,51.85,51.85,8.68
497,65.43,53.7,17.36
498,60.49,52.46,38.77
499,55.55,56.17,25.23
500,65.43,63.58,25.11
501,54.32,58.64,16.43
502,60.49,51.85,11.57
503,61.72,55.55,42.7
504,44.44,50.0,26.04
505,67.9,60.49,17.36
506,46.91,49.38,17.36
507,62.96,55.55,8.68
508,44.44,58.02,23.26
509,58.02,51.85,34.83
510,49.38,56.17,23.26
511,54.32,51.23,20.37
512,65.43,59.87,23.26
513,80.24,56.17,20.37
514,49.38,47.53,5.78
515,54.32,53.08,25.23
516,70.37,66.66,22.22
517,65.43,53.7,23.26
518,66.66,60.49,32.98
519,69.13,58.64,5.78
520,55.55,59.25,14.46
521,70.37,61.72,14.46
522,53.08,68.51,11.57
523,37.03,42.59,23.14
524,46.91,48.14,25.11
525,62.96,52.46,23.26
526,65.43,56.17,42.59
527,50.61,51.85,11.57
528,62.96,49.38,17.36
529,50.61,47.53,20.25
530,60.49,57.4,17.36
531,71.6,51.23,14.46
532,44.44,51.23,25.11
533,60.49,58.64,13.54
534,67.9,56.17,30.09
535,56.79,46.29,29.05
536,46.91,50.61,5.78
537,43.2,52.46,23.26
538,61.72,64.19,23.14
539,59.25,59.87,11.57
540,58.02,57.4,22.33
541,53.08,50.61,19.32
542,64.19,65.43,13.54
543,58.02,46.91,5.78
544,69.13,42.59,28.0
545,58.02,49.38,29.05
546,49.38,55.55,17.36
547,67.9,65.43,5.78
548,62.96,56.17,11.57
549,50.61,54.93,13.54
550,43.2,48.76,45.37
551,55.55,50.0,8.68
552,54.32,48.76,23.26
553,56.79,56.79,62.96
554,56.79,58.02,14.46
555,62.96,59.87,30.09
556,58.02,61.11,31.94
557,60.49,53.7,32.87
558,56.79,56.79,23.37
559,43.2,49.38,11.57
560,74.07,55.55,20.37
561,49.38,52.46,23.14
562,62.96,59.25,23.26
563,55.55,48.76,40.74
564,67.9,63.58,11.57
565,72.83,59.25,31.01
566,55.55,55.55,22.22
567,54.32,47.53,33.79
568,45.67,45.67,22.22
569,41.97,51.85,25.23
570,64.19,64.81,14.46
571,46.91,46.29,8.68
572,66.66,63.58,21.29
573,49.38,48.76,35.87
574,90.12,64.19,28.93
575,61.72,56.79,25.11
576,59.25,59.87,20.25
577,53.08,49.38,11.57
578,56.79,57.4,17.47
579,65.43,61.72,20.37
580,55.55,48.14,17.36
581,62.96,56.17,13.54
582,58.02,50.61,39.69
583,70.37,59.87,23.26
584,64.19,52.46,35.87
585,64.19,53.7,40.62
586,56.79,58.64,5.78
587,61.72,48.76,14.46
588,72.83,61.72,14.46
589,62.96,61.72,26.15
590,50.61,47.53,5.78
591,60.49,58.64,11.57
592,54.32,48.14,14.46
593,67.9,60.49,2.89
594,60.49,54.32,25.11
595,65.43,58.64,17.36
596,48.14,48.14,8.68
597,55.55,64.81,17.36
598,65.43,67.9,22.22
599,62.96,54.93,23.14
600,59.25,59.25,34.83
601,50.61,54.93,23.14
602,70.37,53.7,28.93
603,46.91,46.29,28.12
604,70.37,59.87,14.46
605,55.55,57.4,5.78
606,58.02,54.32,23.14
607,62.96,60.49,26.15
608,48.14,48.76,11.57
609,59.25,48.14,28.0
610,51.85,51.85,8.68
611,51.85,48.14,13.54
612,59.25,50.61,22.22
613,62.96,50.61,23.26
614,72.83,59.25,8.68
615,58.02,56.17,5.78
616,48.14,52.46,23.14
617,67.9,59.25,5.78
618,62.96,58.64,31.94
619,58.02,58.02,5.78
620,55.55,57.4,17.36
621,53.08,46.29,11.57
622,62.96,54.32,30.9
623,60.49,58.02,33.91
624,58.02,53.08,36.8
625,45.67,47.53,14.46
626,62.96,58.02,23.14
627,59.25,48.14,11.57
628,51.85,56.79,26.15
629,56.79,50.0,23.14
630,65.43,58.64,35.87
631,50.61,53.08,11.57
632,51.85,53.08,29.05
633,51.85,52.46,13.54
634,59.25,51.23,17.36
635,51.85,58.02,17.36
636,59.25,61.11,31.94
637,55.55,56.17,14.46
638,58.02,62.34,8.68
639,44.44,47.53,14.46
640,58.02,48.14,8.68
641,44.44,51.23,17.36
642,45.67,51.23,10.64
643,55.55,49.38,8.68
644,54.32,55.55,23.37
645,55.55,48.14,11.57
646,56.79,54.93,16.43
647,45.67,54.32,17.36
648,67.9,59.87,11.57
649,59.25,63.58,23.26
650,50.61,48.76,8.68
651,56.79,54.32,14.46
652,59.25,56.79,14.46
653,72.83,54.93,29.97
654,55.55,44.44,16.43
655,58.02,50.61,7.75
656,49.38,59.25,20.25
657,53.08,56.17,13.54
658,71.6,60.49,22.33
659,54.32,54.93,37.61
660,65.43,63.58,26.15
661,58.02,49.38,31.01
662,45.67,41.97,31.01
663,60.49,54.93,8.68
664,54.32,54.93,23.14
665,70.37,55.55,23.14
666,43.2,54.32,8.68
667,50.61,49.38,17.36
668,51.85,56.79,43.75
669,64.19,61.11,28.12
670,61.72,54.32,28.12
671,48.14,51.85,20.25
672,60.49,51.85,31.01
673,40.74,53.7,14.46
674,70.37,62.96,17.36
675,66.66,48.76,14.46
676,58.02,58.64,25.23
677,49.38,44.44,14.46
678,48.14,53.7,28.12
679,41.97,46.91,23.14
680,64.19,56.79,29.05
681,62.96,46.91,34.95
682,50.61,50.61,17.36
683,58.02,52.46,22.22
684,62.96,60.49,8.68
685,70.37,68.51,42.59
686,70.37,61.72,25.11
687,69.13,56.79,17.36
688,62.96,53.08,30.09
689,67.9,44.44,14.46
690,62.96,53.08,14.46
691,65.43,63.58,11.57
692,75.3,57.4,11.57
693,58.02,54.93,14.46
694,61.72,59.87,19.32
695,62.96,51.85,26.15
696,60.49,55.55,34.95
697,55.55,56.79,20.37
698,49.38,48.14,11.57
699,50.61,56.79,23.14
700,59.25,53.7,5.78
701,77.77,64.19,11.57
702,59.25,59.87,23.14
703,44.44,45.06,28.12
704,58.02,54.32,20.25
705,64.19,61.11,13.54
706,77.77,63.58,25.23
707,82.71,66.66,17.47
708,70.37,58.02,17.36
709,61.72,59.87,31.01
710,60.49,61.11,28.12
711,60.49,62.34,34.83
712,65.43,60.49,20.25
713,60.49,50.61,8.68
714,66.66,56.79,23.14
715,48.14,51.85,10.64
716,64.19,54.32,11.57
717,58.02,59.87,46.41
718,45.67,51.85,8.68
719,53.08,54.32,5.78
720,70.37,63.58,10.64
721,70.37,62.96,20.37
722,62.96,62.34,13.54
723,49.38,55.55,33.91
724,55.55,58.64,17.36
725,58.02,53.08,17.36
726,58.02,55.55,17.36
727,48.14,57.4,11.57
728,67.9,52.46,11.57
729,60.49,59.87,11.57
730,59.25,56.79,26.15
731,62.96,62.96,23.26
732,75.3,68.51,26.04
733,55.55,55.55,17.36
734,56.79,56.17,17.36
735,53.08,53.08,16.43
736,58.02,50.61,35.99
737,70.37,55.55,17.36
738,60.49,56.79,38.77
739,67.9,64.81,16.43
740,65.43,64.19,37.84
741,71.6,59.87,30.09
742,70.37,66.66,11.57
743,62.96,58.02,20.37
744,55.55,59.87,42.7
745,51.85,52.46,19.32
746,60.49,57.4,17.36
747,49.38,50.61,27.19
748,61.72,50.0,5.78
749,53.08,46.91,35.87
750,51.85,47.53,19.32
751,53.08,51.23,17.36
752,45.67,56.17,2.89
753,62.96,59.87,8.68
754,70.37,67.9,23.14
755,58.02,48.76,36.8
756,53.08,55.55,20.37
757,61.72,57.4,30.09
758,50.61,53.08,28.12
759,46.91,43.2,8.68
760,50.61,55.55,14.46
761,70.37,60.49,23.14
762,67.9,66.66,31.01
763,46.91,52.46,8.68
764,62.96,48.14,11.57
765,59.25,54.32,25.23
766,56.79,54.93,39.69
767,40.74,56.17,28.0
768,65.43,62.96,17.36
769,44.44,45.06,36.92
770,49.38,53.08,30.9
771,51.85,51.85,19.32
772,58.02,47.53,5.78
773,50.61,56.79,13.54
774,70.37,51.23,29.05
775,67.9,64.19,33.91
776,60.49,56.17,34.83
777,65.43,48.76,13.54
778,58.02,60.49,14.46
779,60.49,46.29,29.16
780,55.55,53.08,20.37
781,53.08,57.4,17.36
782,67.9,55.55,23.14
783,51.85,54.93,8.68
784,53.08,50.61,25.11
785,64.19,58.02,23.26
786,72.83,56.79,14.46
787,62.96,58.64,23.14
788,61.72,62.34,44.67
789,50.61,61.11,20.25
790,45.67,49.38,40.85
791,66.66,65.43,14.46
792,58.02,49.38,11.57
793,58.02,58.02,30.9
794,59.25,53.08,33.91
795,58.02,56.17,37.73
796,50.61,56.79,13.54
797,44.44,50.0,31.01
798,54.32,57.4,37.61
799,55.55,52.46,28.12
800,70.37,66.66,23.14
801,56.79,51.23,42.59
802,40.74,48.14,23.14
803,65.43,64.81,17.36
804,76.54,61.11,25.23
805,62.96,62.96,23.14
806,54.32,49.38,19.32
807,62.96,63.58,11.57
808,62.96,58.02,29.05
809,60.49,56.17,14.46
810,53.08,56.79,14.46
811,43.2,50.0,8.68
812,50.61,53.7,23.26
813,75.3,60.49,14.58
814,46.91,45.67,34.83
815,66.66,57.4,25.23
816,75.3,64.19,22.22
817,51.85,45.67,14.46
818,61.72,53.7,31.94
819,49.38,53.08,28.0
820,56.79,53.08,28.12
821,60.49,59.25,14.46
822,75.3,59.87,16.43
823,60.49,57.4,28.12
824,59.25,45.67,19.32
825,67.9,56.79,23.14
826,65.43,65.43,28.0
827,62.96,56.17,31.13
828,58.02,58.64,28.12
829,49.38,48.76,20.25
830,54.32,51.23,20.25
831,65.43,61.11,22.22
832,59.25,52.46,20.25
833,72.83,59.25,17.36
834,41.97,48.14,20.37
835,58.02,58.02,8.68
836,55.55,51.23,11.57
837,58.02,55.55,11.57
838,46.91,51.23,26.15
839,58.02,54.32,31.01
840,48.14,50.0,26.15
841,51.85,48.76,14.46
842,67.9,63.58,19.32
843,54.32,46.29,26.15
844,55.55,56.17,11.57
845,65.43,61.72,37.73
846,62.96,64.19,28.0
847,53.08,53.7,23.14
848,50.61,58.64,14.46
849,53.08,51.85,17.36
850,55.55,56.79,14.46
851,66.66,62.96,25.23
852,70.37,61.72,26.04
853,50.61,50.0,28.93
854,67.9,60.49,19.32
855,70.37,65.43,26.15
856,56.79,54.32,29.05
857,60.49,55.55,14.46
858,51.85,53.7,8.68
859,60.49,50.0,23.37
860,76.54,61.11,38.88
861,60.49,50.61,11.57
862,50.61,54.32,46.75
863,48.14,40.12,25.11
864,54.32,56.79,14.46
865,54.32,55.55,11.57
866,50.61,57.4,19.32
867,70.37,58.02,11.57
868,64.19,63.58,17.36
869,67.9,59.25,22.33
870,61.72,58.02,11.57
871,58.02,58.02,11.57
872,62.96,53.7,17.36
873,51.85,47.53,22.33
874,59.25,56.79,14.46
875,56.79,56.79,14.46
876,70.37,64.19,20.37
877,53.08,56.17,23.26
878,45.67,46.91,13.54
879,71.6,64.81,19.32
880,67.9,56.79,8.68
881,48.14,40.12,11.57
882,56.79,58.64,8.68
883,46.91,56.17,5.78
884,58.02,61.11,35.87
885,45.67,44.44,13.54
886,56.79,56.17,14.46
887,56.79,50.61,14.46
888,46.91,55.55,8.68
889,59.25,57.4,11.57
890,55.55,59.25,36.92
891,65.43,61.11,19.32
892,58.02,54.93,17.36
893,48.14,56.79,43.63
894,55.55,53.08,14.46
895,59.25,57.4,28.93
896,64.19,61.11,22.33
897,46.91,55.55,19.32
898,55.55,56.17,19.32
899,54.32,50.61,11.57
900,64.19,59.87,24.3
901,62.96,63.58,11.57
902,54.32,49.38,26.15
903,50.61,50.0,26.15
904,55.55,60.49,25.23
905,51.85,53.7,20.25
906,67.9,56.79,23.26
907,56.79,56.17,14.46
908,53.08,52.46,30.9
909,64.19,59.25,14.46
910,60.49,50.61,20.25
911,50.61,54.93,16.43
912,60.49,52.46,28.12
913,60.49,51.85,14.46
914,55.55,58.02,8.68
915,75.3,69.13,20.25
916,60.49,51.23,14.46
917,60.49,45.67,14.46
918,56.79,50.0,17.36
919,53.08,54.32,19.44
920,40.74,54.93,36.92
921,58.02,57.4,22.22
922,67.9,62.96,8.68
923,58.02,58.64,22.22
924,46.91,57.4,19.32
925,60.49,49.38,14.46
926,46.91,44.44,22.33
927,56.79,51.23,11.57
928,56.79,61.11,11.57
929,58.02,56.79,17.36
930,61.72,50.61,17.36
931,53.08,51.23,2.89
932,67.9,61.72,5.78
933,55.55,50.0,8.68
934,56.79,61.72,17.36
935,65.43,62.96,14.46
936,65.43,62.96,31.94
937,53.08,56.79,14.46
938,59.25,56.17,11.57
939,59.25,53.7,8.68
940,65.43,61.11,19.32
941,55.55,45.06,8.68
942,53.08,54.93,26.04
943,49.38,50.61,21.41
944,70.37,43.82,20.25
945,60.49,51.23,13.54
946,54.32,50.0,28.12
947,66.66,59.87,38.77
948,65.43,58.02,8.68
949,59.25,59.25,14.46
950,67.9,64.81,18.51
951,60.49,54.32,23.26
952,46.91,48.76,26.04
953,67.9,64.81,30.09
954,61.72,56.79,23.14
955,67.9,64.81,23.26
956,45.67,48.76,22.22
957,51.85,52.46,42.7
958,48.14,50.0,34.95
959,59.25,59.25,29.05
960,44.44,53.7,11.57
961,60.49,54.93,16.43
962,54.32,50.0,8.68
963,60.49,58.64,17.36
964,54.32,49.38,28.0
965,46.91,50.61,22.22
966,49.38,49.38,25.11
967,48.14,50.61,31.82
968,65.43,56.17,28.12
969,65.43,55.55,47.45
970,80.24,61.72,23.26
971,51.85,57.4,19.44
972,62.96,62.34,19.32
973,55.55,58.02,28.12
974,49.38,50.0,31.01
975,51.85,51.85,22.22
976,60.49,60.49,17.36
977,48.14,47.53,17.36
978,40.74,51.85,14.46
979,44.44,53.7,17.47
980,61.72,55.55,16.43
981,60.49,59.25,34.83
982,56.79,50.61,31.13
983,49.38,52.46,11.57
984,70.37,61.72,35.87
985,62.96,59.25,10.64
986,90.12,68.51,26.15
987,55.55,56.79,25.11
988,55.55,58.64,23.14
989,51.85,53.08,28.0
990,50.61,47.53,20.25
991,46.91,51.23,42.7
992,56.79,59.25,20.25
993,55.55,52.46,45.6
994,49.38,56.17,34.95
995,72.83,53.7,8.68
996,60.49,54.32,10.64
